name,description,targets,filename,candidate_file,root_path,public_question,base_public_lb,expected_lb_raw_score,expected_lb_local_score,mean_abs_delta,max_abs_delta,mean_council_agreements,mean_council_balance,mean_council_state_strength,target_counts,subject_counts,changed_s_cells,s_logit_l2,raw_score,local_score,rows,columns_ok,keys_match,duplicate_keys,finite_ok,min_probability,max_probability,upload_safe
subject_threshold_council_balanced_k180,"Main release: subject-threshold cells where trajectory, measurement, or raw-semantic interpreters mostly agree.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_balanced_k180_43bb42cbf8_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_balanced_k180_43bb42cbf8_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_balanced_k180_43bb42cbf8_uploadsafe.csv,"If this beats the 0.561288 base, S hidden generation needs subject thresholds plus independent state-interpreter agreement.",0.5612880941,0.5557148535547985,0.5580552877480145,0.0476532790070305,0.0748590312881367,7.45,4.25,0.48695648026024624,"{""S3"": 63, ""S4"": 46, ""S2"": 38, ""S1"": 33}","{""id07"": 27, ""id01"": 24, ""id05"": 20, ""id10"": 19, ""id09"": 18, ""id02"": 17, ""id06"": 16, ""id03"": 16, ""id04"": 14, ""id08"": 9}",180,3.8254980921247905,-0.005573240545201444,-0.0032328063519855748,250,True,True,0,True,1e-05,0.99999,True
subject_threshold_council_wide_k320,"Wide release: same council direction, larger support. This asks whether the S equation is broad rather than sparse.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_wide_k320_d40a5c2e83_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_wide_k320_d40a5c2e83_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_subject_threshold_council_wide_k320_d40a5c2e83_uploadsafe.csv,"If wide wins over balanced, remaining S signal is a broad subject-threshold field, not a few high-confidence cells.",0.5612880941,0.5555015703243442,0.5570642490496927,0.046675527120954054,0.07485962046984207,7.220640569395018,3.715302491103203,0.48130800002214524,"{""S3"": 85, ""S4"": 78, ""S2"": 66, ""S1"": 52}","{""id01"": 39, ""id07"": 38, ""id10"": 33, ""id05"": 30, ""id09"": 30, ""id02"": 29, ""id03"": 27, ""id06"": 22, ""id04"": 20, ""id08"": 13}",281,4.654237343635745,-0.005786523775655754,-0.00422384505030732,250,True,True,0,True,1e-05,0.99999,True
s3s4_threshold_trajectory_council_k140,S3/S4 focused release: latency/WASO style labels require stronger trajectory or raw-semantic agreement.,"S3,S4",submission_human_life_s_hidden_generator_council_solver_s3s4_threshold_trajectory_council_k140_e90f564aa4_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_s3s4_threshold_trajectory_council_k140_e90f564aa4_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_s3s4_threshold_trajectory_council_k140_e90f564aa4_uploadsafe.csv,"If this is best, post-conflict residual is mostly S3/S4 phase and boundary interpretation.",0.5612880941,0.5575069582838615,0.5589495448487511,0.047850621593759635,0.07482369394152827,7.507142857142857,4.0285714285714285,0.4731435523404729,"{""S3"": 74, ""S4"": 66}","{""id07"": 20, ""id01"": 19, ""id10"": 17, ""id05"": 16, ""id03"": 15, ""id06"": 14, ""id04"": 11, ""id09"": 11, ""id02"": 10, ""id08"": 7}",140,3.356187723518336,-0.0037811358161384707,-0.0023385492512488742,250,True,True,0,True,1e-05,0.99999,True
dual_negative_sparse_council_k120,Strict release: raw public-memory and local residual diagnostics both must hear the action as anti-harm.,"S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_dual_negative_sparse_council_k120_eac30ecbfd_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_dual_negative_sparse_council_k120_eac30ecbfd_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_dual_negative_sparse_council_k120_eac30ecbfd_uploadsafe.csv,"If this wins while wider releases fail, the S generator is real but only audible under strict action-safety constraints.",0.5612880941,0.5583510560725868,0.5572940137808918,0.045565747877774926,0.06490596721379477,7.208333333333333,3.8333333333333335,0.47441099148492777,"{""S3"": 40, ""S4"": 34, ""S1"": 25, ""S2"": 21}","{""id07"": 19, ""id01"": 15, ""id05"": 15, ""id10"": 14, ""id09"": 12, ""id04"": 11, ""id03"": 9, ""id02"": 9, ""id06"": 8, ""id08"": 8}",120,2.696335161807596,-0.0029370380274131437,-0.003994080319108196,250,True,True,0,True,1e-05,0.99999,True
opposite_sign_council_search_k180,"Opposite-sign search: choose cells that become audible when the subject-threshold direction is inverted. This is a sensor for sign ambiguity, not an exact negative control.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_opposite_sign_council_search_k180_645ed31662_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_opposite_sign_council_search_k180_645ed31662_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_opposite_sign_council_search_k180_645ed31662_uploadsafe.csv,"If this improves, a second sign regime exists. Exact reverse controls below decide whether the main sign itself is wrong.",0.5612880941,0.5537320667188322,0.5579849444225157,0.04524380063474949,0.07483018684431991,7.322222222222222,3.9166666666666665,0.542215446724893,"{""S4"": 57, ""S1"": 51, ""S3"": 44, ""S2"": 28}","{""id06"": 29, ""id04"": 21, ""id08"": 21, ""id01"": 20, ""id10"": 17, ""id07"": 17, ""id02"": 16, ""id03"": 15, ""id09"": 13, ""id05"": 11}",180,3.83786899817941,-0.007556027381167777,-0.0033031496774843733,250,True,True,0,True,1e-05,0.99999,True
exact_reverse_of_balanced_k180,"Exact negative control: same cells as balanced_k180, opposite logit direction.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_balanced_k180_6741a0253a_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_balanced_k180_6741a0253a_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_balanced_k180_6741a0253a_uploadsafe.csv,Should be harmful if the main council direction is correct.,0.5612880941,0.5668613346452066,0.5645209004519822,0.04947104219258694,0.0748446866008905,7.45,4.25,0.48695648026024624,"{""S3"": 63, ""S4"": 46, ""S2"": 38, ""S1"": 33}","{""id07"": 27, ""id01"": 24, ""id05"": 20, ""id10"": 19, ""id09"": 18, ""id02"": 17, ""id06"": 16, ""id03"": 16, ""id04"": 14, ""id08"": 9}",180,3.8254980921251107,0.005573240545206535,0.003232806351982232,250,True,True,0,True,1e-05,0.99999,True
exact_reverse_of_wide_k320,"Exact negative control: same cells as wide_k320, opposite logit direction.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_wide_k320_e7bfff17af_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_wide_k320_e7bfff17af_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_exact_reverse_of_wide_k320_e7bfff17af_uploadsafe.csv,Should be harmful if the main council direction is correct.,0.5612880941,0.5670746178756608,0.565511939150304,0.048393436873588803,0.07485833255483298,7.220640569395018,3.715302491103203,0.48130800002214524,"{""S3"": 85, ""S4"": 78, ""S2"": 66, ""S1"": 52}","{""id01"": 39, ""id07"": 38, ""id10"": 33, ""id05"": 30, ""id09"": 30, ""id02"": 29, ""id03"": 27, ""id06"": 22, ""id04"": 20, ""id08"": 13}",281,4.654237343636008,0.005786523775660845,0.004223845050303977,250,True,True,0,True,1e-05,0.99999,True
two_regime_assignment_union_k360,Union of disjoint regime-A and regime-B cells. Biggest two-regime hidden S assignment test.,"S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_union_k360_dc3a5f9d53_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_union_k360_dc3a5f9d53_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_union_k360_dc3a5f9d53_uploadsafe.csv,Tests whether S row-targets split into two hidden sign regimes rather than one global subject-threshold polarity.,0.5612880941,0.5481588261736308,0.55475213807053,0.04644853982088999,0.0748590312881367,7.386111111111111,4.083333333333333,0.5145859634925696,"{""S3"": 107, ""S4"": 103, ""S1"": 84, ""S2"": 66}","{""id06"": 45, ""id01"": 44, ""id07"": 44, ""id10"": 36, ""id04"": 35, ""id02"": 33, ""id05"": 31, ""id03"": 31, ""id09"": 31, ""id08"": 30}",360,5.418825896819074,-0.013129267926369223,-0.006535956029469947,250,True,True,0,True,1e-05,0.99999,True
two_regime_assignment_top240,Top 240 cells across both sign regimes by council selection score.,"S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_top240_2f84806702_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_top240_2f84806702_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_top240_2f84806702_uploadsafe.csv,Tests whether S row-targets split into two hidden sign regimes rather than one global subject-threshold polarity.,0.5612880941,0.5496871035159541,0.5551862342454841,0.04605385832173432,0.07482451113901034,7.379166666666666,4.133333333333334,0.5235451895818009,"{""S4"": 78, ""S3"": 70, ""S1"": 51, ""S2"": 41}","{""id06"": 38, ""id01"": 34, ""id07"": 27, ""id10"": 27, ""id08"": 22, ""id04"": 19, ""id03"": 19, ""id09"": 19, ""id05"": 18, ""id02"": 17}",240,4.523698185589143,-0.011600990584045916,-0.006101859854515935,250,True,True,0,True,1e-05,0.99999,True
two_regime_assignment_pairbalanced_k240,"Top 120 cells from each sign regime, preserving A/B balance.","S1,S2,S3,S4",submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_pairbalanced_k240_41d62a2c47_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/human_life_view_predictive_architecture/outputs/s_hidden_generator_council_solver/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_pairbalanced_k240_41d62a2c47_uploadsafe.csv,/Users/kbsoo/Downloads/cl2/submission_human_life_s_hidden_generator_council_solver_two_regime_assignment_pairbalanced_k240_41d62a2c47_uploadsafe.csv,Tests whether S row-targets split into two hidden sign regimes rather than one global subject-threshold polarity.,0.5612880941,0.5497749725729576,0.5550266408108966,0.046587998480790996,0.07482451113901034,7.333333333333333,4.1125,0.5235709714989262,"{""S4"": 80, ""S3"": 68, ""S1"": 51, ""S2"": 41}","{""id06"": 36, ""id01"": 32, ""id07"": 28, ""id10"": 27, ""id08"": 22, ""id09"": 22, ""id04"": 19, ""id02"": 18, ""id05"": 18, ""id03"": 18}",240,4.529262969725104,-0.011513121527042458,-0.006261453289103465,250,True,True,0,True,1e-05,0.99999,True
